20,0.005,50,0
20,0.005,100,2
20,0.005,200,4
20,0.005,500,4
20,0.01,50,0
20,0.01,100,2
20,0.01,200,4
20,0.01,500,13
20,0.02,50,1
20,0.02,100,0
20,0.02,200,5
20,0.02,500,20
20,0.05,50,1
20,0.05,100,4
20,0.05,200,7
20,0.05,500,21
50,0.005,50,3
50,0.005,100,5
50,0.005,200,11
50,0.005,500,22
50,0.01,50,3
50,0.01,100,6
50,0.01,200,21
50,0.01,500,42
50,0.02,50,4
50,0.02,100,14
50,0.02,200,27
50,0.02,500,62
50,0.05,50,3
50,0.05,100,4
50,0.05,200,17
50,0.05,500,25
100,0.005,50,13
100,0.005,100,19
100,0.005,200,24
100,0.005,500,50
100,0.01,50,11
100,0.01,100,29
100,0.01,200,42
100,0.01,500,62
100,0.02,50,11
100,0.02,100,22
100,0.02,200,52
100,0.02,500,80
100,0.05,50,8
100,0.05,100,13
100,0.05,200,21
100,0.05,500,67
200,0.005,50,19
200,0.005,100,44
200,0.005,200,55
200,0.005,500,70
200,0.01,50,17
200,0.01,100,43
200,0.01,200,62
200,0.01,500,79
200,0.02,50,16
200,0.02,100,40
200,0.02,200,70
200,0.02,500,93
200,0.05,50,12
200,0.05,100,33
200,0.05,200,41
200,0.05,500,69
