1,0.1,0.8,0
1,0.1,0.9,0
1,0.1,0.95,0
1,0.1,0.99,25
1,0.1,0.999,94
1,0.01,0.8,0
1,0.01,0.9,1
1,0.01,0.95,6
1,0.01,0.99,54
1,0.01,0.999,99
1,1e-05,0.8,3
1,1e-05,0.9,18
1,1e-05,0.95,31
1,1e-05,0.99,80
1,1e-05,0.999,100
1,1e-10,0.8,11
1,1e-10,0.9,32
1,1e-10,0.95,55
1,1e-10,0.99,95
1,1e-10,0.999,99
1,1e-20,0.8,33
1,1e-20,0.9,41
1,1e-20,0.95,75
1,1e-20,0.99,94
1,1e-20,0.999,99
5,0.1,0.8,0
5,0.1,0.9,0
5,0.1,0.95,4
5,0.1,0.99,22
5,0.1,0.999,98
5,0.01,0.8,0
5,0.01,0.9,3
5,0.01,0.95,8
5,0.01,0.99,55
5,0.01,0.999,99
5,1e-05,0.8,3
5,1e-05,0.9,8
5,1e-05,0.95,27
5,1e-05,0.99,89
5,1e-05,0.999,99
5,1e-10,0.8,16
5,1e-10,0.9,31
5,1e-10,0.95,49
5,1e-10,0.99,91
5,1e-10,0.999,100
5,1e-20,0.8,29
5,1e-20,0.9,53
5,1e-20,0.95,81
5,1e-20,0.99,95
5,1e-20,0.999,99
10,0.1,0.8,0
10,0.1,0.9,2
10,0.1,0.95,3
10,0.1,0.99,23
10,0.1,0.999,92
10,0.01,0.8,0
10,0.01,0.9,3
10,0.01,0.95,9
10,0.01,0.99,55
10,0.01,0.999,99
10,1e-05,0.8,8
10,1e-05,0.9,17
10,1e-05,0.95,33
10,1e-05,0.99,76
10,1e-05,0.999,99
10,1e-10,0.8,6
10,1e-10,0.9,27
10,1e-10,0.95,53
10,1e-10,0.99,87
10,1e-10,0.999,100
10,1e-20,0.8,28
10,1e-20,0.9,57
10,1e-20,0.95,72
10,1e-20,0.99,96
10,1e-20,0.999,100
20,0.1,0.8,0
20,0.1,0.9,1
20,0.1,0.95,4
20,0.1,0.99,25
20,0.1,0.999,99
20,0.01,0.8,1
20,0.01,0.9,1
20,0.01,0.95,8
20,0.01,0.99,52
20,0.01,0.999,99
20,1e-05,0.8,5
20,1e-05,0.9,7
20,1e-05,0.95,39
20,1e-05,0.99,83
20,1e-05,0.999,100
20,1e-10,0.8,14
20,1e-10,0.9,28
20,1e-10,0.95,48
20,1e-10,0.99,95
20,1e-10,0.999,100
20,1e-20,0.8,33
20,1e-20,0.9,51
20,1e-20,0.95,71
20,1e-20,0.99,98
20,1e-20,0.999,99
100,0.1,0.8,1
100,0.1,0.9,1
100,0.1,0.95,3
100,0.1,0.99,25
100,0.1,0.999,96
100,0.01,0.8,1
100,0.01,0.9,3
100,0.01,0.95,8
100,0.01,0.99,49
100,0.01,0.999,100
100,1e-05,0.8,5
100,1e-05,0.9,11
100,1e-05,0.95,32
100,1e-05,0.99,79
100,1e-05,0.999,99
100,1e-10,0.8,9
100,1e-10,0.9,35
100,1e-10,0.95,56
100,1e-10,0.99,92
100,1e-10,0.999,100
100,1e-20,0.8,27
100,1e-20,0.9,57
100,1e-20,0.95,80
100,1e-20,0.99,98
100,1e-20,0.999,100
